Dist Code,Year,State Code,State Name,Dist Name,RICE YIELD (Kg per ha),WHEAT YIELD (Kg per ha),KHARIF SORGHUM YIELD (Kg per ha),RABI SORGHUM YIELD (Kg per ha),SORGHUM YIELD (Kg per ha),PEARL MILLET YIELD (Kg per ha),MAIZE YIELD (Kg per ha),FINGER MILLET YIELD (Kg per ha),BARLEY YIELD (Kg per ha),CHICKPEA YIELD (Kg per ha),PIGEONPEA YIELD (Kg per ha),MINOR PULSES YIELD (Kg per ha),GROUNDNUT YIELD (Kg per ha),SESAMUM YIELD (Kg per ha),RAPESEED AND MUSTARD YIELD (Kg per ha),SAFFLOWER YIELD (Kg per ha),CASTOR YIELD (Kg per ha),LINSEED YIELD (Kg per ha),SUNFLOWER YIELD (Kg per ha),SOYABEAN YIELD (Kg per ha),OILSEEDS YIELD (Kg per ha),SUGARCANE YIELD (Kg per ha),COTTON YIELD (Kg per ha),ANNUAL RAINFALL (Millimeters),APRIL RAINFALL (Millimeters),AUGUST RAINFALL (Millimeters),DECEMBER RAINFALL (Millimeters),FEBRUARY RAINFALL (Millimeters),JANUARY RAINFALL (Millimeters),JULY RAINFALL (Millimeters),JUNE RAINFALL (Millimeters),MARCH RAINFALL (Millimeters),MAY RAINFALL (Millimeters),NOVEMBER RAINFALL (Millimeters),OCTOBER RAINFALL (Millimeters),SEPTEMBER RAINFALL (Millimeters),NITROGEN CONSUMPTION (tons),NITROGEN PER HA OF GCA (Kg per ha),NITROGEN PER HA OF NCA (Kg per ha),NITROGEN SHARE IN NPK (Percent),PHOSPHATE CONSUMPTION (tons),PHOSPHATE PER HA OF GCA (Kg per ha),PHOSPHATE PER HA OF NCA (Kg per ha),PHOSPHATE SHARE IN NPK (Percent),POTASH CONSUMPTION (tons),POTASH PER HA OF GCA (Kg per ha),POTASH PER HA OF NCA (Kg per ha),POTASH SHARE IN NPK (Percent),TOTAL CONSUMPTION (tons),TOTAL PER HA OF GCA (Kg per ha),TOTAL PER HA OF NCA (Kg per ha),BARLEY IRRIGATED AREA (1000 ha),CHICKPEA IRRIGATED AREA (1000 ha),COTTON IRRIGATED AREA (1000 ha),FINGER MILLET IRRIGATED AREA (1000 ha),FODDER IRRIGATED AREA (1000 ha),FRUITS AND VEGETABLES IRRIGATED AREA (1000 ha),GROUNDNUT IRRIGATED AREA (1000 ha),KHARIF SORGHUM IRRIGATED AREA (1000 ha),LINSEED IRRIGATED AREA (1000 ha),MAIZE IRRIGATED AREA (1000 ha),MINOR PULSES IRRIGATED AREA (1000 ha),PEARL MILLET IRRIGATED AREA (1000 ha),PIGEONPEA IRRIGATED AREA (1000 ha),PULSES IRRIGATED AREA (1000 ha),RABI SORGHUM IRRIGATED AREA (1000 ha),RICE IRRIGATED AREA (1000 ha),SESAMUM IRRIGATED AREA (1000 ha),SORGHUM IRRIGATED AREA (1000 ha),SUGARCANE IRRIGATED AREA (1000 ha),WHEAT IRRIGATED AREA (1000 ha),APRIL MAXIMUM (Centigrate),AUGUST MAXIMUM (Centigrate),DECEMBER MAXIMUM (Centigrate),FEBRUARY MAXIMUM (Centigrate),JANUARY MAXIMUM (Centigrate),JULY MAXIMUM (Centigrate),JUNE MAXIMUM (Centigrate),MARCH MAXIMUM (Centigrate),MAY MAXIMUM (Centigrate),NOVEMBER MAXIMUM (Centigrate),OCTOBER MAXIMUM (Centigrate),SEPTEMBER MAXIMUM (Centigrate),APRIL PERCIPITATION (Millimeters),AUGUST PERCIPITATION (Millimeters),DECEMBER PERCIPITATION (Millimeters),FEBRUARY PERCIPITATION (Millimeters),JANUARY PERCIPITATION (Millimeters),JULY PERCIPITATION (Millimeters),JUNE PERCIPITATION (Millimeters),MARCH PERCIPITATION (Millimeters),MAY PERCIPITATION (Millimeters),NOVEMBER PERCIPITATION (Millimeters),OCTOBER PERCIPITATION (Millimeters),SEPTEMBER PERCIPITATION (Millimeters)
96,1990,7,Maharashtra,Thane,1926.0,0.0,2000.0,0.0,2000.0,0.0,0.0,885.0,0.0,538.0,409.0,539.0,1250.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,2634.2,0.0,911.3,0.3,0.0,0.0,691.4,474.9,0.0,98.4,3.5,113.2,341.2,8424.0,23.26,23.88,67.7,1833.0,5.06,5.2,14.7,2194.0,6.06,6.22,17.6,12451.0,34.38,35.3,0.0,0.4,0.0,0.0,0.0,3.6,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.5,0.0,1.9,0.0,0.0,0.0,0.0,35.72,28.72,30.59,30.91,31.77,29.32,31.74,32.05,35.96,31.68,31.39,29.19,0.08,968.09,0.56,0.96,0.0,1715.21,321.59,0.0,73.82,7.55,145.54,392.14
96,1991,7,Maharashtra,Thane,1784.0,1000.0,1000.0,0.0,1000.0,0.0,1000.0,781.0,0.0,435.0,512.0,414.0,1250.0,364.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,0.0,0.0,1999.7,5.2,402.5,0.0,0.0,0.0,1043.5,464.7,0.0,1.1,0.7,2.8,79.2,9776.0,34.53,36.52,66.4,2222.0,7.85,8.3,15.1,2728.0,9.64,10.19,18.5,14726.0,52.02,55.01,0.0,0.5,0.0,0.0,0.0,6.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.6,0.0,0.0,0.0,0.1,36.0,29.08,30.29,30.9,29.21,29.26,32.49,33.67,36.66,32.3,32.27,29.8,12.48,439.37,1.62,0.01,0.0,619.0,315.02,0.36,14.57,3.05,1.08,142.28
96,1992,7,Maharashtra,Thane,1935.0,0.0,0.0,0.0,0.0,0.0,2000.0,837.0,0.0,550.0,905.0,465.0,1250.0,385.0,500.0,0.0,0.0,0.0,0.0,0.0,352.0,0.0,0.0,2121.2,0.0,942.0,0.0,0.0,0.0,475.8,256.2,0.0,0.0,0.0,23.7,423.5,9758.0,31.96,33.66,75.9,1764.0,5.78,6.08,13.7,1329.0,4.35,4.58,10.3,12851.0,42.09,44.33,0.0,0.7,0.0,0.0,0.0,6.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,1.6,0.0,0.0,0.0,0.1,35.32,28.86,31.17,29.37,29.96,30.78,33.44,33.88,36.29,32.31,31.44,29.7,0.67,1202.97,0.0,0.0,0.28,927.34,155.24,0.0,3.95,1.1,71.33,449.8
96,1993,7,Maharashtra,Thane,2047.0,0.0,0.0,0.0,0.0,0.0,1500.0,857.0,0.0,667.0,886.0,578.0,1600.0,400.0,375.0,0.0,0.0,0.0,0.0,0.0,434.0,0.0,0.0,2393.1,0.0,412.6,0.0,0.0,0.0,956.7,407.1,0.0,0.0,0.0,181.1,435.6,10039.0,32.85,34.64,85.3,975.0,3.19,3.36,8.3,755.0,2.47,2.61,6.4,11769.0,38.51,40.61,0.0,0.7,0.0,0.0,0.0,6.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,2.5,0.0,0.0,0.0,0.0,35.61,29.78,30.7,31.67,30.28,29.72,33.07,33.09,36.61,31.85,31.59,29.05,0.08,480.88,6.95,0.04,0.0,1252.96,291.63,0.93,0.9,4.89,215.03,725.41
96,1994,7,Maharashtra,Thane,1898.0,0.0,0.0,0.0,0.0,0.0,1000.0,667.0,0.0,524.0,656.0,648.0,2200.0,300.0,1000.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,2761.2,0.0,649.1,0.0,0.0,0.0,1168.3,553.0,0.0,0.0,0.0,13.8,377.0,9569.0,31.31,33.02,78.4,1737.0,5.68,5.99,14.2,905.0,2.96,3.12,7.4,12211.0,39.96,42.14,0.0,1.0,0.0,0.0,0.0,7.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.7,0.0,0.0,0.0,0.1,35.49,28.95,30.78,30.3,30.1,28.67,31.65,35.12,36.64,32.16,32.52,29.28,18.16,660.94,0.0,0.01,2.3,1680.82,488.24,0.0,18.96,2.08,92.09,412.13
96,1995,7,Maharashtra,Thane,2170.0,0.0,0.0,0.0,0.0,0.0,0.0,768.0,0.0,463.0,563.0,524.0,1800.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0,0.0,0.0,1781.9,0.0,306.8,0.0,0.0,1.6,975.0,82.3,0.0,3.7,2.4,80.5,329.6,10298.0,33.71,35.55,77.4,1625.0,5.32,5.61,12.2,1389.0,4.55,4.79,10.4,13312.0,43.57,45.95,0.0,1.4,0.0,0.0,0.0,9.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,2.4,0.0,0.0,0.0,0.0,36.48,30.66,32.3,30.98,28.63,30.19,34.44,33.14,36.37,32.4,32.58,29.84,5.92,465.36,0.08,0.0,2.36,1158.09,112.57,0.14,5.6,0.69,118.44,539.7
96,1996,7,Maharashtra,Thane,2599.0,0.0,0.0,0.0,0.0,0.0,0.0,883.0,0.0,634.0,640.0,664.0,2400.0,667.0,0.0,0.0,0.0,0.0,0.0,0.0,857.0,0.0,0.0,2159.7,2.3,539.0,0.0,0.0,0.1,1007.8,283.9,0.0,0.0,0.4,122.3,203.9,12631.0,41.35,43.6,77.4,2494.0,8.16,8.61,15.3,1195.0,3.91,4.12,7.3,16320.0,53.42,56.33,0.0,2.4,0.0,0.0,0.0,11.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,3.0,0.0,0.0,0.0,0.0,36.32,29.09,31.11,32.17,29.84,30.27,33.56,35.24,36.69,31.78,31.17,29.51,0.61,565.99,0.0,0.0,2.1,1581.84,318.8,0.17,4.26,0.85,257.75,393.46
96,1997,7,Maharashtra,Thane,2355.0,1000.0,1667.0,0.0,1667.0,0.0,0.0,794.0,0.0,583.0,500.0,683.0,1333.0,667.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,0.0,0.0,3654.8,0.0,947.4,51.4,0.0,15.0,1101.3,858.3,0.0,0.0,94.5,0.0,586.9,12628.0,31.98,34.51,74.6,2279.0,5.77,6.23,13.5,2011.0,5.09,5.5,11.9,16918.0,42.84,46.24,0.0,2.2,0.0,0.0,0.0,11.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,3.6,0.0,0.0,0.0,0.1,35.01,29.55,29.1,30.86,29.06,30.07,32.1,34.92,36.1,32.52,32.68,29.78,6.53,1183.61,13.66,0.0,4.11,938.58,498.07,0.04,2.49,26.72,12.99,343.17
96,1998,7,Maharashtra,Thane,1920.0,1000.0,0.0,0.0,0.0,0.0,0.0,811.0,0.0,605.0,452.0,547.0,1333.0,294.0,250.0,0.0,0.0,0.0,1000.0,0.0,367.0,0.0,0.0,2695.5,0.0,629.9,0.0,0.0,0.0,697.2,330.1,0.0,0.0,21.3,212.0,805.0,13504.0,33.2,36.36,79.6,2017.0,4.96,5.43,11.9,1434.0,3.53,3.86,8.5,16955.0,41.69,45.65,0.0,3.1,0.0,0.0,0.0,11.5,0.1,0.0,0.0,0.0,0.0,0.0,0.2,3.3,0.0,4.4,0.0,0.0,0.0,0.1,36.81,30.3,30.76,31.05,29.64,30.35,33.59,34.02,37.72,31.69,31.86,29.61,0.03,1068.41,0.01,0.12,0.02,1231.34,289.43,0.14,5.19,19.13,181.89,478.44
96,1999,7,Maharashtra,Thane,2130.0,800.0,0.0,0.0,0.0,0.0,0.0,971.0,0.0,658.0,517.0,540.0,1750.0,357.0,350.0,0.0,0.0,0.0,0.0,0.0,493.0,0.0,0.0,1932.2,0.0,234.5,0.0,0.0,0.0,700.2,470.8,0.0,16.5,0.0,189.4,320.8,15100.0,38.45,42.48,77.9,2430.0,6.19,6.84,12.5,1847.0,4.7,5.2,9.5,19377.0,49.34,54.51,0.0,2.1,0.0,0.0,0.0,13.0,0.2,0.0,0.0,0.0,0.0,0.0,0.3,2.4,0.0,3.6,0.0,0.0,0.0,0.1,36.22,29.5,31.4,31.99,29.29,29.73,31.63,34.62,35.79,32.4,32.05,29.32,0.0,272.05,0.0,0.31,0.0,879.78,381.41,0.0,19.88,0.01,251.22,415.14
